English,Hindi,Hinglish,Id,Score
"The prevailing colour of this breed is black and white.
","इस नस्ल का सामान्य रंग काला और सफेद होता है.
",[start] is [UNK] ka [UNK] rng [UNK] aur [UNK] hai [end],132,0
"Auto Generate Assoc Accessors (Java)
","एसॉक एक्सेसर्स स्वचालित जनरेट करें (जावा)
",[start] [UNK] [UNK] [UNK] [UNK] [UNK] [end],133,0
"It is the pivot on which the political system of the country revolves .
","यह वह धुरी है , जो देश के राजनीतिक व्यवस्था की नींव है .
",[start] yah vah [UNK] hai jis par country ki political system men hai [end],134,0
"Chandrashekhar himself is undecided as to what he should do.
","स्वयं चंद्रशेखर इस संदर्भ में अनिश्चित है कि उसे क्या करना चाहिए।
",[start] [UNK] khud tay nahin kar [UNK] rahe hain ki unhen kya karna chahie [end],135,0
"This message does not contain the header information required for this action.
","संदेश शीर्षिका सूचना नहीं रखता है इस क्रिया के लिए जरूरी.
",[start] is message men is action ke lie aavashyak action [UNK] nahin hai [end],136,0
"Setting up of EIL - R & D Centre to support National Laboratories
","राष्ट्रीय प्रयोगशालाओं के सहयोग के लिए र्इ. आर्इ. एल.-आर. एण्ड डी. सेन्टर की स्थापना।
",[start] national [UNK] ki sahayta ke lie [UNK] [UNK] evn vikas centre ki sthapna [end],137,0
"Thus a binary series of numbers would be transmitted.
","इस प्रकार दिवचर श्रेणी की संख्याओं को प्रेषित किया जा सकता हैं।
",[start] is prkar [UNK] ki ek [UNK] [UNK] [UNK] ki [UNK] [end],138,0
"Speech by The President of India,Shri Pranab Mukherjee at The National Education Day celebrations and the inauguration of 40th Jawaharlal Nehru National Science, Mathematics and Environment Exhibition for children - 2013
","राष्ट्रीय शिक्षा दिवस समारोह तथा 40वीं जवाहरलाल नेहरू राष्ट्रीय बाल विज्ञान, गणित और पर्यावरण प्रदर्शनी - 2013 के उद्घाटन के अवसर पर भारत के राष्ट्रपति का अभिभाषण
",[start] national education speech [UNK] aur children ke lie [UNK] [UNK] nehroo national [UNK] [UNK] aur environment [UNK] ke udghatan ke avasar par india ke president shri [UNK] [UNK] ka [UNK] [UNK] [end],139,0.1249
"From 1998 - 99, various poverty alleviation and employment generation programmes are grouped under two broad categories of:
","वर्ष 1998-99 से चलने वाले कई तरह के गरीबी उन्मूलन तथा रोजगार सृजन कार्यक्रमों को व्यापक रूप से दो वर्गों में रखे गए हैंः
",[start] [UNK] se vibhinn poverty various aur employment srijan [UNK] ko do [UNK] [UNK] men [UNK] gaya hai [end],140,0.2469
"_ Apply filters to new messages in Inbox on this server
","इस सर्वर पर इनबाक्स में नए संदेश के लिए फिल्टर चलाएँ (_ A)
",[start] is [UNK] par [UNK] men ne [UNK] ke lie [UNK] [UNK] karen [end],141,0
"He stuck to the practices he had learnt during training.
","उन्होंने प्रशिक्षण के दौरान सीखी पद्धतियों का ही पालन किया।
",[start] vah training ke dauran [UNK] ge [UNK] par [UNK] raha [end],142,0
"When they came to a gutter filled with rain water, they plunged in, scream - ing with laughter.
","छोकरे जब बारिश के पानी से भरा नाली के निकट पहुंचे, तो उसी में कूद पड़े और धमाचौकड़ी मचाते हुए हो-हल्ला करने लगे।
",[start] jab ve [UNK] ke water se bhare ek [UNK] ke pas aae to ve [UNK] [UNK] kar usmen [UNK] ge [end],143,0
"(That) We sent it down one night of blessing - - so that We could warn - -
","निस्संदेह हमने उसे एक बरकत भरी रात में अवतरित किया है।-निश्चय ही हम सावधान करनेवाले है।-
",[start] ki hamne use ek barakat vali rat nazil ki taki ham [UNK] kar something [end],144,0.1763
"Could not rename '% s' to% s:% s
","`% s 'का% s यह पुनर्नामकरण नहीं कर सकाः% s
",[start] s ka nam [UNK] s s nahin kiya ja saka [end],145,0.4831
"You must enable remote connections if you want to use Chromoting to access this computer.
","यदि आप इस कंप्यूटर पर पहुंचने के लिए Chromoting का उपयोग करना चाहते हैं, तो आपको दूरस्थ कनेक्शन सक्षम करने होंगे.
",[start] yadi aap is computer tak [UNK] ke lie [UNK] ka upyog karna chahte hain to aapko [UNK] [UNK] [UNK] karne honge [end],146,0
"It is divided into six parts , five of which deal with cosmic matters .
","यह छह भागों में विभक़्त है जिनमें से पांच में ब्रह्मांड से संबंधित विषयों पर चर्चा की गई है .
",[start] yah chhah bhagon men [UNK] gaya hai jinmen se bhagon [UNK] men se snbndhit yah [end],147,0.3476
"than about capturing a moment really.
","बजाय सच में एक पल को खींचने के |
",[start] vastav men ek [UNK] par [UNK] karne ke [UNK] [end],148,0.4771
"And she conceived him, and she withdrew with him to a far place.
","फिर उसे उस (बच्चे) का गर्भ रह गया और वह उसे लिए हुए एक दूर के स्थान पर अलग चली गई।
",[start] aur vah uske [UNK] men rahi aur vah uske pas ek door rakha ko [UNK] gee [end],149,0
"If we start translating, we can only say the sun 's colour was slightly reddish.
","अगर हमें अनुवाद करना हो तो हम कहेंगे कि सूर्य का रंग लोहित था।
",[start] anuvad karna [UNK] karen to other yahi kah sakte hain ki soory ka rng [UNK] [UNK] tha [end],150,0.2985
"and what will make you understand what the 'Illiyyin is? - -
","और तुमको क्या मालूम कि इल्लीयीन क्या है वह एक लिखा हुआ दफ़तर है
",[start] aur tum kya tum ki [UNK] kya hai [end],151,0
"Children from the lowest social class are five times more likely to die in road accidents than those from the highest social class.
","समाज के सब से नीचे वाले वर्ग के बच्चों की सड़क दुर्घटना में मौत होने का खतरा सब से उँचे वर्ग वाले बच्चों से पाँच गुना अधिक है।
",[start] highest social varg ke bachchon ki tulna men [UNK] social varg ke bachchon ki [UNK] [UNK] men [UNK] ki snbhavna panch highest adhik hoti hai [end],152,0
"Download in progress. Do you want to save the task?
","डाउनलोड प्रगति में है. क्या आप इस कार्य को सहेजना चाहते हैं?
",[start] [UNK] jari hai [end],153,0.1843
"I had my own doubts of the success of the programme in Bihar.
","मुझे भी इस कार्यक्रम की सफलता में काफी संदेह था।
",[start] [UNK] men karyakram ki saphalta ko lekar meri apni [UNK] thin [end],154,0
"Check that the spelling is correct and that your proxy settings are correct.
","जांच लें कि वर्तनी सही है और आपके प्रॉक्सी विन्यास सही हैं.
",[start] janchen ki spelling correct hai aur aapki proxy time correct hain [end],155,0.7149
"Such an institution is no good for building the nation.
","यह संस्था राष्ट्र के नव निर्माण की दृष्टि से उपयोगी नहीं है।
",[start] aesi institution nation nirman ke lie thik nahin hai [end],156,0
"(9) The person from whose custody any books of account or other documents are seized under sub-section (1) or sub-section (1A) may make copies thereof, or take extracts therefrom, in the presence of the authorised officer or any other person empowered by him in this behalf, at such place and time as the authorised officer may appoint in this behalf.
","(9) वह व्यक्ति, जिसकी अभिरक्षा से कोर्इ लेखा बहियां या अन्य दस्तावेज उपधारा (1) या उपधारा (1क) के अधीन अभिगृहीत किए जाते हैं, उनकी नकलें या उनसे उद्धरण प्राधिकृत अधिकारी या उस निमित्त उसके द्वारा सशक्त किसी अन्य व्यक्ति की उपस्थिति में ऐसे स्थान और समय पर जो प्राधिकृत अधिकारी इस निमित्त नियत करें ले सकेगा।
",[start] [UNK] jis vyakti ki [UNK] se khate ki [UNK] ya any [UNK] updhara 1 ya updhara [UNK] ke tahat [UNK] kie jate hain ve [UNK] officer ya kisi ki [UNK] men uski [UNK] bana le hain ya bana [UNK] le sakte hain [end],157,0.1595
"Partially ordered set is the intuitive concept of an ordering and sequencing, or arrangement of the elements of a set.
","अंशतः क्रमित समुच्चय, समुच्चय के तत्वों के अनुक्रमण तथा प्रबंधन का एक सहजज्ञ सिद्धांत होता है।
",[start] [UNK] roop se [UNK] set ek aadesh aur [UNK] ya ek set ke [UNK] ki [UNK] ki [UNK] [UNK] hai [end],158,0
"OPV can be given to children till 5 years of age.
","बच्चों को ओपीवी 5 वर्ष की आयु तक दिया जा सकता है
",[start] 5 years tak ke bachchon ko [UNK] di ja sakti hai [end],159,0.2273
"The decree that the court gave was an appealable decree.
","अदालत ने जो डेक्री दी वह एक अपीलनीय डेक्री थी।
",[start] [UNK] ne jo decree di vah ek appeal yogy decree thi [end],160,0
"21.Lovhaghat also called Iron Fort,it is one of the greatest attractions of Bharathpur.
","21. लौहागढ़ आयरन फोर्ट के रूप में भी जाना जाता है लौहागढ़ भरतपुर के प्रमुख ऐतिहासिक आकर्षणों में से एक है।
",[start] [UNK] ko [UNK] ka [UNK] bhi kaha jata hai yah [UNK] ke sabse bare [UNK] men se ek hai [end],161,0.234
"Rest house means a building used for shelter by travelers.
","विश्राम गृह का अर्थ उस इमारत से होता है, जिसका प्रयोग यात्रियों द्वारा आश्रय के लिए किया जाता है।
",[start] [UNK] [UNK] ka arth [UNK] dvara [UNK] ke lie upyog kiya jane vala bhavan hai [end],162,0
"For more than four decades, Gurbakhsh Singh prevailed over Punjabi journalism.
","चार दशकों से अधिक, गुरबख्श सिंह पंजाबी पत्रकारिता पर आच्छादित रहे।
",[start] [UNK] [UNK] char [UNK] se adhik samay tak [UNK] [UNK] par [UNK] rahe [end],163,0
"The President of India, Shri Pranab Mukherjee has called for changing negative perceptions about women.
","भारत के राष्ट्रपति, श्री प्रणब मुखर्जी ने महिलाओं के बारे में नकारात्मक धारणाओं को बदलने का आग्रह किया।
",[start] india ke president shri [UNK] [UNK] ne women ke bare men [UNK] [UNK] ko badalne ka [UNK] kiya hai [end],164,0
"Sometimes, the local craftsmen also display their items for sale in this emporium.
","कभी स्थानीय शिल्पकार भी अपनी कलाकृतियों को यहां पर बेचने के लिए रख देते हैं.
",[start] kabhikbhi local [UNK] bhi is [UNK] men [UNK] ke lie apna saman events karte hain [end],165,0.5223
"Device does not support FILTER _ SLOT property.
","उपकरण में FILTER _ SLOT गुण समर्थन उपलब्ध नहीं है.
",[start] [UNK] [UNK] property ka samarthan nahin karta [end],166,0
"It is the best source of soluble fibre.
","यह घुलनशील रेशे का सर्वश्रेष्ठ स्रोत है।
",[start] yah [UNK] [UNK] ka sabse good srot hai [end],167,0
"God has sealed their hearts and hearing and their vision is veiled; a great punishment awaits them.
","अल्लाह ने उनके दिलों पर और कानों पर मुहर लगा दी है और उनकी आँखों पर परदा पड़ा है, और उनके लिए बड़ी यातना है
",[start] [UNK] ne unke [UNK] aur [UNK] par [UNK] laga di hai aur unki drishti par [UNK] para hai [end],168,0.2719
"This will be our tribute to Mahatma Gandhi on his 150th birth anniversary to be celebrated in the year 2019.
","ऐसा करना महात्मा गांधी को उनकी 150वीं जयंती पर हमारी श्रद्धांजलि होगी जो वर्ष2019 में मनाई जाएगी।’
",[start] year [UNK] men [UNK] jane vali unki [UNK] [UNK] par [UNK] [UNK] ko yah hamari [UNK] hogi [end],169,0
"Harnessing modern biology in agriculture is the need of the hour.
","कृषि में आधुनिक जीवविज्ञान का उपयोग आज की जरूरत है।
",[start] krishi men modern object science ka upyog karna samay ki aavashyakta hai [end],170,0
"Shortly after taking up the job, he was married in 1912 to Shivdayee, with whom he was betrothed since infancy.
","काम पर लगने के शीघ्र बाद ही 1912 मे शिवदाई के साथ उनका विवाह हो गया, जिसके साथ जन्म से ही उनकी मँगनी हो चुकी जीवन 19 थी।
",[start] [UNK] karne ke kuchh time bad [UNK] men unka vivah [UNK] se huaa jinse unki [UNK] se hi [UNK] ho gee thi [end],171,0.1577
"And in all cases we have to ask -
","और सभी मामलों में हमे पूछना है
",[start] aur sabhi matters men hamen [UNK] hai [end],172,0
"When they are cast into it they will hear it sighing, the while it boils
","जब वे उसमें डाले जाएँगे तो उसकी दहाड़ने की भयानक आवाज़ सुनेंगे और वह प्रकोप से बिफर रही होगी।
",[start] jab ve usmen [UNK] jate hain to ve uski [UNK] aur [UNK] [UNK] hue [UNK] [end],173,0
"We think doodling is something you do when you lose focus,
","ऐसा माना जाता है कि डूडल करने वाले का ध्यान भंग हो चुका है,
",[start] hamen lagta hai ki hai ek aesi chiz hai jise aap tab karte hain jab aap [UNK] [UNK] dete hain [end],174,0
"Project Manager Plugin for Anjuta.
","परियोजना प्रबंधक प्लगइन के लिए Anjuta.
",[start] [UNK] ke lie [UNK] [UNK] [UNK] [end],175,0
"What quantity should be added to both sides of this equation
","क्या मात्रा इस समीकरण के दोनों पक्षों के लिए शामिल किया जाना चाहिए
",[start] is [UNK] ke donon aspects men kitni matra rahna jae [end],176,0.4555
"A typical exploitation of the horizontal instability is by tampering with regions of higher albedo like the polar ice caps.
","क्षैतिज अस्थिरता के समुपयोजन का एक प्रारुपिक उदाहरण ध्रवीय बर्फ-टोपी जैसे उच्च एल्बडो के क्षेत्र में हस्तक्षेप है।
",[start] horizontal [UNK] ka ek vishisht [UNK] high [UNK] ke aspects jaise [UNK] [UNK] ki [UNK] ke sath [UNK] karna hai [end],177,0
"The Government , therefore , decided that an amendment of the Constitution was not necessary .
","अत : सरकार ने निश्चय किया कि संविधान का संशोधन जरूरी नहीं है .
",[start] islie government ne nirnay liya ki [UNK] men [UNK] ki aavashyakta nahin hai [end],178,0
"The e-hospital and e-project programmes taken up by NIMHANS are, therefore, excellent initiatives, worthy of emulation by other institutions.
","इसलिए निमहैन्स द्वारा आरंभ किए गए ई-हास्पिटल और ई-प्रोजेक्ट कार्यक्रम उत्कृष्ट पहल हैं, अन्य संस्थाओं द्वारा अनुकरण किए जाने योग्य है।
",[start] islie response dvara [UNK] kie ge [UNK] aur [UNK] programme [UNK] initiatives hain jo any [UNK] dvara [UNK] ke yogy hain [end],179,0
"The writer of this monograph met her in October 1972 in Leningrad.
","इस पुस्तक के लेखक की अक्तूबर 1972 में, लेनिनग्राद में, लोला से, उनके घर पर भेंट हुई।
",[start] is [UNK] ke [UNK] ne unse [UNK] [UNK] men [UNK] men [UNK] ki [end],180,0.1325
"A sudden state of danger in financial matters.
","वित्तीय मामलों में उपस्थित आकस्मिक आपात स्थिति।
",[start] state matters men [UNK] [UNK] ki [UNK] [end],181,0
"It enables the company to adopt a stable dividend policy
","इससे कंपनी की लाभांश नीति को स्थिरता मिलती है।
",[start] yah company ko ek [UNK] dividend policy be men [UNK] [UNK] hai [end],182,0
"Ask your council about anything in the tenancy agreement you do not understand.
","यदि किरायेदारी के समझोते में कोई बात आपको समझ नहीं आती, तो आ कौंसिल को पूँछे।
",[start] [UNK] [UNK] men kisi bhi bat ke bare men apni council se [UNK] jo aapko samajh men nahin [UNK] [end],183,0.4374
"“ We have always supported the UDF and have a right to nominate those whom we believe will help us , ” says Monsignor Paul Kakkassery , the diocese 's spokesman .
","उनके प्रवक्ता मॉनसिग्नोर पॉल कक्कास्सेरी ने कहा भी , ' ' हमने हमेशा संलमो का समर्थन किया है.इसलिए हमें ऐसे लगों को मनोनीत करने का अधिकार है जिनके बारे में हमारा मानना है कि वे हमारी मदद करेंगे . ' '
",[start] [UNK] ke [UNK] [UNK] [UNK] [UNK] kahte hain hamne hamesha [UNK] ka samarthan kiya hai aur hamen un logon ko [UNK] karne ka right hai jinke bare men hamen vishvas hai ki ve hamari madad karenge [end],184,0.5469
"In exercise of the powers vested in him by Rule 58 1 paragraph b of the Defence of Hyderabad Rules which correspond to the Defence of India Rules, it is hereby ordered that no person shall unfurl in a ceremonial fashion at any public function the flag of any foreign country nor salute it.
","हैदराबाद रक्षा-कानूनों जो भारत रक्षा-कानूनों के जैसे ही है की धारा-58 1 के पैरा ब द्वारा उनमें निजाम में निहित सत्ताओं का अमल करके यह आदेश दिया जाता है कि कोई भी व्यक्ति किसी भी सार्वजनिक समारोह में विधिवत् किसी विदेश के झंडे को न तो फहरायेगा और न उसे सलामी देगा।
",[start] [UNK] [UNK] ki [UNK] ke niyam [UNK] [UNK] bi dvara unhen nihit shaktiyon ka pryog karte hue jo bhartiy [UNK] [UNK] ke anuroop hai yah decree diya jata hai ki koee bhi [UNK] kisi bhi public samaroh men [UNK] roop se kisi bhi rashtr ka [UNK] nahin [UNK] [end],185,0
"Special schemes for SHGs and to empower women folk
","स्वयं सहायता समूह के लिए विशेष योजना और महिलाओं को सशक्त बनाना
",[start] [UNK] ke lie vishesh [UNK] aur mahila [UNK] ko sashakt banana [end],186,0
"The process of arbitration that has to be followed compulsorily as per law.
","किसी मामले में पंचनिर्णय की प्रक्रिया जो कानूनन अनिवार्य रूप से पालन करनी होगी।
",[start] [UNK] ki prakriya jise law ke anusar [UNK] roop se palan karna hota hai [end],187,0
"Let not those grieve thee who rush headlong into Unbelief: Not the least harm will they do to Allah: Allah 's plan is that He will give them no portion in the Hereafter, but a severe punishment.
","और (ऐ रसूल) जो लोग कुफ़्र की (मदद) में पेश क़दमी कर जाते हैं उनकी वजह से तुम रन्ज न करो क्योंकि ये लोग ख़ुदा को कुछ ज़रर नहीं पहुँचा सकते (बल्कि) ख़ुदा तो ये चाहता है कि आख़ेरत में उनका हिस्सा न क़रार दे और उनके लिए बड़ा (सख्त) अज़ाब है
",[start] jo log [UNK] ki or [UNK] hain ve tumhen [UNK] n karen ve allah ko kam se kam [UNK] nahin [UNK] allah ki plan yah hai ki vah unhen [UNK] men koee god nahin dega lekin [UNK] [UNK] [UNK] [end],188,0.3636
"Now who will take rebukes on my behalf.
",", अब वहाँ मेरे स्थान पर कौन झिड़किए खायेगा?
",[start] ab meri or se kaun [UNK] [end],189,0.4816
"There were the usual speeches, garlanding and so on.
","उसमें, सामान्यतः जैसा होता है, मालाएं पहनाई गई और भाषण आदि हुए।
",[start] normal speech [UNK] [UNK] the [end],190,0
"In France, the news of one deed spreads like a flash and brings some pride to a disillusioned people.
","फ्रांस में इस एक कारनामे की खबर बिजली की तरह फैल जाती है और लोग भ्रम से मुक़्त होकर गर्व महसूस करते हैं.
",[start] [UNK] men ek kam ki [UNK] ek [UNK] ki tarah phail hai aur [UNK] karne vale logon ke lie kuchh [UNK] ka karan ko hai [end],191,0
"You will be more likely to give up before the 30 minutes elapse compared to you.
","आप लोगों के छोड़ने की सम्भावना, आप लोगों से ज्यादा है।
",[start] aapki tulna men [UNK] men [UNK] se pahle aapke har [UNK] ki snbhavna adhik hogi [end],192,0
"Toggle display of the status bar.
","स्थिति पट्टी का प्रदर्शन टॉगल करें.
",[start] [UNK] bar ka [UNK] [UNK] karen [end],193,0
"An Iranian government - sponsored radio station gleefully predicts that its brand of militant Islam within the United States will “provoke a dangerous and crucial confrontation” with the American authorities.
","ईरानी सरकार द्वारा प्रायोजित एक रेडियो स्टेशन ने अत्यंत प्रसन्नतापूर्वक भविष्यवाणी की कि उसके प्रकार का उग्रवादी इस्लाम अमेरिका में अमेरिकी अधिकारियों के साथ महत्वपूर्ण और खतरनाक संघर्ष को प्रोत्साहित कर देगा।
",[start] ek [UNK] [UNK] [UNK] [UNK] [UNK] se bhavishyvani karta hai ki [UNK] rajy public ke bhitar [UNK] [UNK] ka [UNK] [UNK] [UNK] ke sath khatarnak aur important speeches ko [UNK] [end],194,0
"The pumping system draws water from the open well, bore well, stream, pond, canal etc.
","पम्पिंग प्रणाली जल को खुले कुएं, बोरवेल, जल-धारा, तालाब, नहर आदि से खींचती है।
",[start] [UNK] system khule [UNK] [UNK] dhara [UNK] [UNK] aadi se water [UNK] hai [end],195,0
"(a) expenditure in connection with—
","(क) निम्नलिखित के संबंध में व्यय–
",[start] e ke snbndh men [UNK] [end],196,0
"Color to draw the Marcus Bains Line in the Time bar (empty for default).
","Marcus Bains Line को समय पट्टी में दिखाने के लिए रंग (तयशुदा रूप से खाली).
",[start] [UNK] bar men [UNK] [UNK] rekha [UNK] ke lie rng [UNK] ke lie [UNK] [end],197,0
"These dealt with matters arising during periods of the first and second Emergencies proclaimed in 1962 and 1971.
","इनका संबंध उन मामलों से था जो 1962 और 1971 में उदघोषित आपात उपबंध पहले और दूसरे आपातो के दौरान पैदा हुए।
",,198,0
"It was presented to the Legislative Council in 1856 and was passed in 1860.
","इसे 1856 में विधायी परिषद के समक्ष प्रस्तुत किया गया और1860 में पारित किया गया।
",,,