Id,Score
0,0
1,0
2,0
3,0.1361
4,0
5,0.4485
6,0
7,0.1462
8,0
9,0.2472
10,0.3168
11,0
12,0.2462
13,0.0915
14,0
15,0
16,0
17,0
18,0.2077
19,0
20,0.1508
21,0.326
22,0.4748
23,0.1723
24,0
25,0.2249
26,0
27,0
28,0
29,0.2003
30,0.185
31,0
32,0.289
33,0
34,0
35,0
36,0.1074
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0.2095
47,0.3287
48,0
49,0
50,0.1553
51,0
52,0
53,0.6135
54,0
55,0
56,0.2645
57,0.5318
58,0.1588
59,0
60,0
61,0
62,0
63,0
64,0.4458
65,0
66,0
67,0
68,0
69,0.2715
70,0
71,0
72,0
73,0
74,0.7788
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0.1189
85,0.1642
86,0
87,0.388
88,0
89,0
90,0
91,0
92,0.4957
93,0
94,0
95,0.5803
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0.2599
106,0
107,0.2558
108,0.5497
109,0
110,0
111,0
112,0.4861
113,0.3602
114,0
115,0
116,0
117,0
118,0
119,0.3611
120,0
121,0
122,0.301
123,0
124,0.2648
125,0.1889
126,0.3121
127,0
128,0
129,0.1987
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0.1249
140,0.2469
141,0
142,0
143,0
144,0.1763
145,0.4831
146,0
147,0.3476
148,0.4771
149,0
150,0.2985
151,0
152,0
153,0.1843
154,0
155,0.7149
156,0
157,0.1595
158,0
159,0.2273
160,0
161,0.234
162,0
163,0
164,0
165,0.5223
166,0
167,0
168,0.2719
169,0
170,0
171,0.1577
172,0
173,0
174,0
175,0
176,0.4555
177,0
178,0
179,0
180,0.1325
181,0
182,0
183,0.4374
184,0.5469
185,0
186,0
187,0
188,0.3636
189,0.4816
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0